timestamp,PV.DC Power,BESS.DC Power,Battery Group 1.DC Power,Battery Group 2.DC Power,Battery Group 3.DC Power,Battery Group 4.DC Power,Inverter.Active Power,L2 7650 Meter.Active Power,OASIS POI.Active Power
="2015-04-07 01:00:00",43.8,-7.4,-1.4,-2.3,-1.8,-1.7,35.6,,24.4
="2015-04-08 01:00:00",43.4,-5.7,-0.9,-2.0,-1.3,-1.2,37.2,,23.4
="2015-04-09 01:00:00",45.9,-3.1,-0.2,-1.2,-0.9,-0.5,41.9,,29.3
="2015-04-10 01:00:00",11.3,-4.9,-0.8,-1.6,-1.2,-1.1,5.8,,-6.5
="2015-04-11 01:00:00",36.2,-0.8,0.3,-0.7,-0.1,-0.0,34.6,,22.4
="2015-04-12 01:00:00",23.8,-1.5,-0.3,-0.3,-0.3,-0.3,21.6,,10.0
="2015-04-13 01:00:00",5.9,-11.7,-1.9,-4.4,-2.6,-2.6,-6.2,,-17.2
="2015-04-14 01:00:00",53.5,-4.9,-0.7,-1.4,-1.3,-1.1,47.5,,34.6
="2015-04-15 01:00:00",28.0,-3.8,-0.5,-1.3,-1.0,-0.8,23.2,,11.3
="2015-04-16 01:00:00",49.4,-5.3,-0.8,-2.1,-1.2,-0.9,43.1,,31.3
="2015-04-17 01:00:00",48.5,-3.7,-0.5,-1.3,-0.9,-0.8,43.9,,32.8
="2015-04-18 01:00:00",46.5,-1.7,-0.2,-0.6,-0.5,-0.4,43.8,,33.2
="2015-04-19 01:00:00",45.6,-5.0,-0.8,-1.7,-1.2,-1.0,40.1,,29.5
="2015-04-20 01:00:00",38.0,-7.0,-1.3,-2.2,-1.7,-1.6,30.8,,21.7
="2015-04-21 01:00:00",29.7,-3.7,-0.4,-1.6,-1.0,-0.7,26.1,,17.1
="2015-04-22 01:00:00",36.9,-2.5,-0.3,-1.2,-0.5,-0.3,34.3,,25.7
="2015-04-23 01:00:00",7.9,-2.8,-0.6,-0.7,-0.5,-0.7,5.1,,-2.7
="2015-04-24 01:00:00",15.9,-0.9,-0.1,-0.4,-0.3,-0.1,15.0,,7.1
="2015-04-25 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.0
="2015-04-26 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.3
="2015-04-27 01:00:00",21.8,-2.1,-0.3,-0.6,-0.6,-0.6,19.7,,11.1
="2015-04-28 01:00:00",18.3,-2.3,-0.4,-0.8,-0.4,-0.5,16.2,,8.1
="2015-04-29 01:00:00",27.8,-1.2,-0.1,-0.5,-0.3,-0.2,26.5,,18.1
="2015-04-30 01:00:00",15.6,-1.9,-0.4,-0.6,-0.5,-0.4,13.9,,5.7
="2015-05-01 01:00:00",29.3,-2.0,-0.3,-0.6,-0.4,-0.4,27.3,,18.0
="2015-05-02 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.2
="2015-05-03 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.3
="2015-05-04 01:00:00",32.3,-2.0,-0.2,-0.7,-0.6,-0.4,30.2,,20.9
="2015-05-05 01:00:00",32.6,-2.9,-0.4,-1.1,-0.7,-0.6,29.7,,20.4
="2015-05-06 01:00:00",44.4,-3.9,-0.8,-1.0,-0.9,-0.9,40.1,,30.8
="2015-05-07 01:00:00",41.2,-1.8,-0.1,-0.9,-0.4,-0.3,39.2,,31.4
="2015-05-08 01:00:00",39.6,-2.0,-0.3,-0.6,-0.6,-0.4,37.5,,29.3
="2015-05-09 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.2
="2015-05-10 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.7
="2015-05-11 01:00:00",25.0,-2.6,-0.4,-0.7,-0.7,-0.6,22.6,,13.5
="2015-05-12 01:00:00",19.1,-1.5,-0.4,-0.5,-0.3,-0.2,17.7,,10.1
="2015-05-13 01:00:00",8.1,-1.0,-0.2,-0.2,-0.2,-0.2,7.0,,-0.5
="2015-05-14 01:00:00",36.8,0.3,0.2,-0.1,0.1,0.1,36.1,,27.3
="2015-05-15 01:00:00",14.2,0.5,0.1,0.2,0.2,0.1,14.3,,7.1
="2015-05-16 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.4
="2015-05-17 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.7
="2015-05-18 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.9
="2015-05-19 01:00:00",45.2,-3.6,-0.7,-1.1,-0.9,-0.9,40.7,,30.9
="2015-05-20 01:00:00",56.2,-0.4,0.1,-0.2,0.0,-0.2,53.7,,43.0
="2015-05-21 01:00:00",53.9,-2.6,-0.5,-0.7,-0.6,-0.6,49.2,,38.3
="2015-05-22 01:00:00",36.3,-1.5,0.1,-0.9,-0.3,-0.3,33.4,,23.3
="2015-05-23 01:00:00",25.3,-0.6,0.0,-0.2,-0.0,-0.1,22.4,,10.6
="2015-05-24 01:00:00",16.2,-3.5,-0.4,-1.3,-0.7,-0.8,10.9,,-0.2
="2015-05-25 01:00:00",9.7,-2.5,-0.6,-0.6,-0.6,-0.6,6.0,,-3.9
="2015-05-26 01:00:00",21.0,-3.7,-0.8,-0.9,-0.9,-0.9,17.0,,7.1
="2015-05-27 01:00:00",23.5,0.9,0.3,0.3,0.3,0.3,23.9,,13.9
="2015-05-28 01:00:00",13.5,2.8,0.7,0.7,0.7,0.7,20.4,,9.5
="2015-05-29 01:00:00",47.8,-4.7,-1.1,-1.2,-1.1,-1.1,42.3,,32.9
="2015-05-30 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.0
="2015-05-31 01:00:00",,,,,,,,,
="2015-06-01 01:00:00",31.0,10.1,2.7,2.5,2.6,2.6,40.3,,31.0
="2015-06-02 01:00:00",5.7,-10.5,-2.6,-2.6,-2.6,-2.6,-4.5,,-11.6
="2015-06-03 01:00:00",21.1,-2.7,-0.5,-0.8,-0.7,-0.5,17.9,,9.4
="2015-06-04 01:00:00",37.1,-1.4,-0.3,-0.5,-0.4,-0.0,35.2,,26.8
="2015-06-05 01:00:00",50.5,-1.0,0.1,-0.4,-0.3,-0.3,48.6,,39.0
="2015-06-06 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.2
="2015-06-07 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.8
="2015-06-08 01:00:00",47.6,7.8,2.0,2.0,1.9,2.0,54.1,,43.5
="2015-06-09 01:00:00",53.8,-4.1,-1.0,-1.0,-1.0,-1.0,49.1,,39.9
="2015-06-10 01:00:00",48.3,-4.1,-0.9,-1.2,-1.0,-0.9,43.7,,34.8
="2015-06-11 01:00:00",51.2,-3.7,-0.8,-1.0,-0.9,-0.9,46.9,,37.5
="2015-06-12 01:00:00",24.8,-1.3,-0.2,-0.4,-0.4,-0.3,23.2,,15.5
="2015-06-13 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.3
="2015-06-14 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.6
="2015-06-15 01:00:00",49.6,-1.4,-0.3,-0.7,-0.4,0.1,47.2,,38.4
="2015-06-16 01:00:00",37.9,-1.6,-0.3,-0.3,-0.4,-0.5,35.7,,26.7
="2015-06-17 01:00:00",16.5,4.0,1.0,1.0,1.0,1.0,19.9,,11.4
="2015-06-18 01:00:00",31.3,-6.0,-1.4,-1.4,-1.4,-1.4,25.1,,15.7
="2015-06-19 01:00:00",27.8,-2.2,-0.3,-0.7,-0.6,-0.2,25.2,,15.6
="2015-06-20 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.4
="2015-06-21 01:00:00",9.6,-4.8,-0.9,-1.5,-1.5,-0.8,4.5,,-3.5
="2015-06-22 01:00:00",70.3,1.1,0.5,0.2,0.3,0.3,70.3,,60.3
="2015-06-23 01:00:00",24.7,1.0,0.3,0.3,0.3,0.3,25.4,,17.5
="2015-06-24 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.9
="2015-06-25 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.0
="2015-06-26 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.7
="2015-06-27 01:00:00",,,,,,,,,
="2015-06-28 01:00:00",,,,,,,,,
="2015-06-29 01:00:00",,,,,,,,,
="2015-06-30 01:00:00",,,,,,,,,
="2015-07-01 01:00:00",,,,,,,,,
="2015-07-02 01:00:00",,,,,,,,,
="2015-07-03 01:00:00",,,,,,,,,
="2015-07-04 01:00:00",,,,,,,,,
="2015-07-05 01:00:00",,,,,,,,,
="2015-07-06 01:00:00",,,,,,,,,
="2015-07-07 01:00:00",,,,,,,,,
="2015-07-08 01:00:00",0.7,0.1,0.0,0.0,0.0,0.0,0.7,,-7.0
="2015-07-09 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.2
="2015-07-10 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.4
="2015-07-11 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.8
="2015-07-12 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.9
="2015-07-13 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.0
="2015-07-14 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.4
="2015-07-15 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.0
="2015-07-16 01:00:00",0.7,-0.0,-0.0,-0.0,-0.0,-0.0,0.7,,-6.5
="2015-07-17 01:00:00",40.7,-2.4,-0.5,-0.7,-0.6,-0.5,37.8,,30.0
="2015-07-18 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.6
="2015-07-19 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.8
="2015-07-20 01:00:00",1.4,3.6,0.9,0.9,0.9,0.9,4.8,,-1.9
="2015-07-21 01:00:00",20.6,-4.5,-1.1,-1.1,-1.1,-1.1,16.2,,7.7
="2015-07-22 01:00:00",22.4,-4.7,-0.9,-1.4,-1.2,-1.0,17.8,,8.9
="2015-07-23 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.1
="2015-07-24 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.0
="2015-07-25 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.7
="2015-07-26 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.7
="2015-07-27 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.7
="2015-07-28 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.8
="2015-07-29 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.3
="2015-07-30 01:00:00",44.7,-5.9,-0.2,-1.4,-1.5,-1.0,38.4,,27.7
="2015-07-31 01:00:00",54.9,8.9,2.1,2.1,2.4,2.4,62.4,,51.6
="2015-08-01 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.3
="2015-08-02 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.2
="2015-08-03 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.1
="2015-08-04 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.3
="2015-08-05 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.1
